wait_time,q_index,q_val,tau_fast,f,tau_slow,d,f_err
0,0,0.0037637686035959274,0.0006909804649769196,0.39619664976758384,60.30319191172982,1.0199999999999998,0.04169175862791401
0,1,0.00489078770665826,0.0004837189851536854,0.47770261143432774,34.92076857689447,1.0199999999999998,0.06096586785254623
0,2,0.006017806809720593,0.0003300132816322167,0.44467218569268135,49.18761024487805,1.0058513553080108,0.09180156631072264
0,3,0.007144825912782926,0.00015626965073527952,0.6159721092631935,9.062283305848778,1.0199999999999998,0.03960297294061555
0,4,0.008271845015845259,0.0001184925843944405,0.6019053998472034,10.767211040000923,1.0130510326969269,0.05220100454559612
10,0,0.0037637686035959274,0.0005939246563035101,0.3012009489073636,203.40625732820376,1.0199999999999998,0.03220718687637248
10,1,0.00489078770665826,0.00029642652021350777,0.36384377948921603,123.34405126177651,1.0199999999830385,0.06898046855200833
10,2,0.006017806809720593,0.00025076763173372435,0.3990456460365595,91.51801338072873,1.0164007631274103,0.10043307336103047
10,3,0.007144825912782926,0.00018523754689022534,0.46667077953432456,46.89402123874667,1.0199999999999998,0.12671637095777838
10,4,0.008271845015845259,0.0002445771952619358,0.3054216015082207,181.99443635158704,0.9858880995306589,0.128368037732101
20,0,0.0037637686035959274,0.0006127662337817997,0.20746150207160274,297.5316162041326,1.0189032532867381,0.021202132819309227
20,1,0.00489078770665826,0.0007682542587154135,0.17615205778777904,358.6351100507055,1.0007512974307908,0.02374960611144546
20,2,0.006017806809720593,0.00034664013793385406,0.226549764179973,228.11285819574644,1.002286021591253,0.05199892803708804
20,3,0.007144825912782926,0.00014876226552737614,0.36002993469276945,96.89498356061546,1.0199999999999767,0.1313307335397926
20,4,0.008271845015845259,0.0006600279909291676,0.18912009415088976,229.92903895255148,0.9800000000000137,0.053199125472082026
